"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00134101","1925-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","525.9","6","0.0",",6","6",",6","3",",6","1",",6","28",",6","4",",6","7",",6","30",",6","17",",6","0",",6","0",",6","","","19251229","+,,6","19251215",",,6","19251215",",,6","","","19251204",",,6","19251204",",,6","-23.9",",6,29,+","152",",,6,15,","127",",,6,15,","27.7",",,6,04,","6.7",",6,04,","","","1710.7","6","771.6",",6","","","","","42.3",",,,6","292",",,,6","-6.56",",6","-1.79",",,,6","-11.33",",,,6","",""
"USC00134101","1926-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","7",",6","2",",6","0",",6","19",",6","4",",6","4",",6","27",",6","12",",6","0",",6","0",",6","","","19260122",",,6","19260121",",,6","19260120",",,6","","","19260103",",,6","19260130",",,6","-23.3",",6,22,","76",",,6,21,","38",",,6,20,","15.5",",,6,03,","11.1",",6,30,","","","2405.2","6","694.5",",6","","","","","24.2",",,,6","113",",,,6","-4.07",",6","0.89",",,,6","-9.03",",,,6","",""
"USC00134101","1926-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","7",",6","4",",6","0",",6","3",",6","0",",6","0",",6","25",",6","4",",6","0",",6","0",",6","","","19260211",",,6","19260218","+,,6","19260218","+,,6","","","19260217",",,6","19260228",",,6","-12.2",",6,11,","25",",,6,18,+","13",",,6,18,+","14.5",",,6,17,","16.7",",6,28,","","","2916.4","6","511.2",",6","","","","","42.0",",,,6","39",",,,6","0.08",",6","4.09",",,,6","-3.93",",,,6","",""
"USC00134101","1926-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","8",",6","5",",6","0",",6","7",",6","4",",6","0",",6","27",",6","8",",6","0",",6","0",",6","","","19260313",",,6","19260331",",,6","19260330",",,6","","","19260330",",,6","19260323",",,6","-16.1",",6,13,","127",",,6,31,","102",",,6,30,","7.4",",,6,30,","20.0",",6,23,","","","3489.6","6","573.2",",6","","","","","32.3",",,,6","255",",,,6","-0.16",",6","4.68",",,,6","-5.00",",,,6","",""
"USC00134101","1926-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","4.4","6","4.4",",6","9",",6","4",",6","0",",6","7",",6","0",",6","0",",6","16",",6","0",",6","5",",6","1",",6","","","19260401",",,6","19260401",",,6","19260406","+,,6","","","19260424",",,6","19260430",",,6","-8.3",",6,01,","127",",,6,01,","13",",,6,06,+","20.1",",,6,24,","32.2",",6,30,","","","3828.2","6","338.6",",6","","","","","41.7",",,,6","26",",,,6","7.20",",6","13.47",",,,6","0.92",",,,6","",""
"USC00134101","1926-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","63.0","6","58.6",",6","7",",6","3",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","25",",6","4",",6","","","19260515",",,6","19260531","+,,6","19260531","+,,6","","","19260510",",,6","19260524",",,6","1.7",",6,15,","0",",,6,31,+","0",",,6,31,+","31.5",",,6,10,","34.4",",6,24,","","","3893.4","6","65.2",",6","","","","","49.0",",,,6","0",",,,6","18.12",",6","25.53",",,,6","10.71",",,,6","",""
"USC00134101","1926-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","101.0","6","38.0",",6","9",",6","8",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","28",",6","1",",6","","","19260605",",,6","19260630","+,,6","19260630","+,,6","","","19260612",",,6","19260611",",,6","4.4",",6,05,","0",",,6,30,+","0",",,6,30,+","73.2",",,6,12,","33.3",",6,11,","","","3926.1","6","32.7",",6","","","","","156.1",",,,6","0",",,,6","18.51",",6","25.22",",,,6","11.80",",,,6","",""
"USC00134101","1926-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","271.7","6","170.7",",6","10",",6","6",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","9",",6","","","19260714",",,6","19260731","+,,6","19260731","+,,6","","","19260731",",,6","19260720",",,6","6.7",",6,14,","0",",,6,31,+","0",",,6,31,+","47.5",",,6,31,","37.2",",6,20,","","","2.5","6","2.5",",6","","","","","109.6",",,,6","0",",,,6","23.76",",6","29.82",",,,6","17.70",",,,6","",""
"USC00134101","1926-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","424.4","6","152.7",",6","12",",6","11",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","4",",6","","","19260825",",,6","19260831","+,,6","19260831","+,,6","","","19260809",",,6","19260828","+,,6","12.2",",6,25,","0",",,6,31,+","0",",,6,31,+","24.1",",,6,09,","33.3",",6,28,+","","","2.5","6","0.0",",6","","","","","107.6",",,,6","0",",,,6","23.26",",6","28.91",",,,6","17.61",",,,6","",""
"USC00134101","1926-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","487.0","6","62.6",",6","16",",6","12",",6","4",",6","0",",6","0",",6","0",",6","1",",6","0",",6","23",",6","1",",6","","","19260926",",,6","19260930","+,,6","19260930","+,,6","","","19260901",",,6","19260917",",,6","-2.2",",6,26,","0",",,6,30,+","0",",,6,30,+","56.4",",,6,01,","32.2",",6,17,","","","69.7","6","67.2",",6","","","","","266.0",",,,6","0",",,,6","18.18",",6","23.04",",,,6","13.32",",,,6","",""
"USC00134101","1926-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","492.9","6","5.9",",6","11",",6","5",",6","0",",6","0",",6","0",",6","0",",6","8",",6","0",",6","5",",6","0",",6","","","19261025","+,,6","19261031","+,,6","19261031","+,,6","","","19261004",",,6","19261003",",,6","-3.9",",6,25,+","0",",,6,31,+","0",",,6,31,+","10.9",",,6,04,","27.8",",6,03,","","","313.6","6","243.9",",6","","","","","33.3",",,,6","0",",,,6","10.65",",6","15.96",",,,6","5.35",",,,6","",""
"USC00134101","1926-11","41.6093","-91.5051","195.1","IOWA CITY, IA US","492.9","6","0.0",",6","10",",6","7",",6","0",",6","11",",6","2",",6","0",",6","23",",6","7",",6","0",",6","0",",6","","","19261121",",,6","19261118",",,6","19261118",",,6","","","19261126",",,6","19261107",",,6","-12.2",",6,21,","102",",,6,18,","76",",,6,18,","22.1",",,6,26,","17.8",",6,07,","","","828.7","6","515.1",",6","","","","","85.4",",,,6","127",",,,6","1.16",",6","5.65",",,,6","-3.32",",,,6","",""
"USC00134101","1926-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","492.9","6","0.0",",6","5",",6","2",",6","0",",6","5",",6","1",",6","4",",6","30",",6","13",",6","0",",6","0",",6","","","19261214",",,6","19261211","+,,6","19261207",",,6","","","19261207",",,6","19261230",",,6","-21.1",",6,14,","25",",,6,11,+","25",",,6,07,","20.1",",,6,07,","7.8",",6,30,","","","1531.2","6","702.5",",6","","","","","24.7",",,,6","25",",,,6","-4.33",",6","-0.15",",,,6","-8.51",",,,6","",""
"USC00134101","1927-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","5",",6","1",",6","0",",6","17",",6","1",",6","6",",6","30",",6","17",",6","0",",6","0",",6","","","19270115",",,6","19270113",",,6","19270113",",,6","","","19270113",",,6","19270128","+,,6","-26.7",",6,15,","102",",,6,13,","76",",,6,13,","5.1",",,6,13,","7.2",",6,28,+","","","2270.7","6","739.5",",6","","","","","7.9",",,,6","115",",,,6","-5.52",",6","-0.90",",,,6","-10.14",",,,6","",""
"USC00134101","1927-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","6",",6","4",",6","0",",6","4",",6","1",",6","0",",6","25",",6","4",",6","0",",6","0",",6","","","19270215",",,6","19270214",",,6","19270214",",,6","","","19270214",",,6","19270223",",,6","-13.3",",6,15,","127",",,6,14,","114",",,6,14,","10.2",",,6,14,","12.8",",6,23,","","","2778.6","6","507.9",",6","","","","","35.8",",,,6","127",",,,6","0.19",",6","4.87",",,,6","-4.48",",,,6","",""
"USC00134101","1927-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","13",",6","8",",6","0",",6","0",",6","0",",6","0",",6","15",",6","1",",6","2",",6","0",",6","","","19270303",",,6","19270321","+,,6","19270321","+,,6","","","19270311",",,6","19270316",",,6","-10.0",",6,03,","0",",T,6,21,+","0",",T,6,21,+","24.4",",,6,11,","22.8",",6,16,","","","3187.0","6","408.4",",6","","","","","78.0",",,,6","0",",T,,6","5.16",",6","10.48",",,,6","-0.16",",,,6","",""
"USC00134101","1927-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","4.7","6","4.7",",6","14",",6","8",",6","1",",6","1",",6","1",",6","0",",6","5",",6","0",",6","8",",6","0",",6","","","19270423",",,6","19270402",",,6","19270402",",,6","","","19270419",",,6","19270417",",,6","-5.6",",6,23,","76",",,6,02,","64",",,6,02,","25.9",",,6,19,","26.7",",6,17,","","","3444.5","6","257.5",",6","","","","","104.7",",,,6","64",",,,6","9.91",",6","15.04",",,,6","4.78",",,,6","",""
"USC00134101","1927-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","23.1","6","18.4","1,6","15",",6","9",",6","2",",6","0",",6","0",",6","0","1,6","0","1,6","0","1,6","13","1,6","0","1,6","","","19270516","+,1,6","19270531","+,,6","19270531","+,,6","","","19270518",",,6","19270521",",1,6","2.8","1,6,16,+","0",",,6,31,+","0",",,6,31,+","34.5",",,6,18,","30.0","1,6,21,","","","3570.1","6","125.6","1,6","","","","","172.4",",,,6","0",",,,6","14.76","1,6","20.28","1,,,6","9.24","1,,,6","",""
"USC00134101","1927-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","79.1","6","56.0",",6","10",",6","5",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","24",",6","2",",6","","","19270615","+,,6","19270630","+,,6","19270630","+,,6","","","19270621",",,6","19270629",",,6","7.2",",6,15,+","0",",,6,30,+","0",",,6,30,+","118.9",",,6,21,","33.9",",6,29,","","","3607.9","6","37.8",",6","","","","","144.1",",,,6","0",",,,6","18.94",",6","24.58",",,,6","13.31",",,,6","",""
"USC00134101","1927-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","212.2","6","133.1",",6","11",",6","5",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","6",",6","","","19270724","+,,6","19270731","+,,6","19270731","+,,6","","","19270722",",,6","19270711",",,6","11.7",",6,24,+","0",",,6,31,+","0",",,6,31,+","17.8",",,6,22,","35.0",",6,11,","","","0.5","6","0.5",",6","","","","","51.4",",,,6","0",",,,6","22.61",",6","29.21",",,,6","16.01",",,,6","",""
"USC00134101","1927-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","281.4","6","69.2",",6","8",",6","4",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","29",",6","1",",6","","","19270809",",,6","19270831","+,,6","19270831","+,,6","","","19270814",",,6","19270806",",,6","6.7",",6,09,","0",",,6,31,+","0",",,6,31,+","14.0",",,6,14,","33.9",",6,06,","","","17.8","6","17.3",",6","","","","","34.6",",,,6","0",",,,6","20.01",",6","26.81",",,,6","13.20",",,,6","",""
"USC00134101","1927-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","414.3","6","132.9",",6","10",",6","9",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","22",",6","12",",6","","","19270922",",,6","19270930","+,,6","19270930","+,,6","","","19270918",",,6","19270917","+,,6","2.2",",6,22,","0",",,6,30,+","0",",,6,30,+","33.3",",,6,18,","36.1",",6,17,+","","","87.5","6","69.7",",6","","","","","94.8",",,,6","0",",,,6","20.44",",6","26.82",",,,6","14.06",",,,6","",""
"USC00134101","1927-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","424.1","6","9.8",",6","9",",6","7",",6","3",",6","0",",6","0",",6","0",",6","3",",6","0",",6","13",",6","0",",6","","","19271018","+,,6","19271031","+,,6","19271031","+,,6","","","19271006",",,6","19271027",",,6","-1.7",",6,18,+","0",",,6,31,+","0",",,6,31,+","64.0",",,6,06,","30.0",",6,27,","","","249.4","6","161.9",",6","","","","","187.2",",,,6","0",",,,6","13.42",",6","20.05",",,,6","6.79",",,,6","",""
"USC00134101","1927-11","41.6093","-91.5051","195.1","IOWA CITY, IA US","424.1","6","0.0","1,6","8",",6","4",",6","0",",6","0",",6","0",",6","0",",6","18",",6","3","1,6","2","1,6","0","1,6","","","19271106",",,6","19271130","+,,6","19271119",",,6","","","19271115",",,6","19271111","+,1,6","-9.4",",6,06,","0",",,6,30,+","0",",T,6,19,","13.2",",,6,15,","21.7","1,6,11,+","","","639.2","6","389.8","1,6","","","","","32.8",",,,6","0",",T,,6","4.80","1,6","9.92","1,,,6","-0.32",",,,6","",""
"USC00134101","1927-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","424.1","6","0.0",",6","4",",6","3",",6","0",",6","4",",6","0",",6","4",",6","29",",6","15",",6","0",",6","0",",6","","","19271208",",,6","19271210","+,,6","19271207",",,6","","","19271207",",,6","19271228","+,,6","-20.6",",6,08,","25",",,6,10,+","13",",,6,07,","22.9",",,6,07,","8.9",",6,28,+","","","1370.0","6","730.8",",6","","","","","48.3",",,,6","13",",,,6","-5.24",",6","0.00",",,,6","-10.48",",,,6","",""
"USC00134101","1928-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","4",",6","0",",6","0",",6","4",",6","1",",6","4",",6","27",",6","12",",6","0",",6","0",",6","","","19280102",",,6","19280131","+,,6","19280129",",,6","","","19280129",",,6","19280114",",,6","-23.9",",6,02,","25",",,6,31,+","25",",,6,29,","2.3",",,6,29,","14.4",",6,14,","","","2040.7","6","670.7",",6","","","","","4.9",",,,6","38",",,,6","-3.30",",6","1.57",",,,6","-8.18",",,,6","",""
"USC00134101","1928-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","8",",6","5",",6","0",",6","4",",6","1",",6","0",",6","24",",6","6",",6","0",",6","0",",6","","","19280225",",,6","19280218","+,,6","19280217",",,6","","","19280206",",,6","19280203",",,6","-16.7",",6,25,","51",",,6,18,+","51",",,6,17,","23.6",",,6,06,","12.8",",6,03,","","","2597.7","6","557.0",",6","","","","","51.0",",,,6","64",",,,6","-0.87",",6","3.94",",,,6","-5.69",",,,6","",""
"USC00134101","1928-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0","1,6","7",",6","5",",6","0",",6","0",",6","0",",6","0","1,6","23","1,6","1",",6","4",",6","0",",6","","","19280305",",1,6","19280329","+,,6","19280329","+,,6","","","19280308",",,6","19280323",",,6","-12.2","1,6,05,","0",",T,6,29,+","0",",T,6,29,+","18.5",",,6,08,","28.3",",6,23,","","","3030.7","6","433.0",",6","","","","","61.9",",,,6","0",",T,,6","4.08","1,6","10.02",",,,6","-1.87","1,,,6","",""
"USC00134101","1928-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.6","6","0.6","1,6","9",",6","6",",6","0",",6","4",",6","2",",6","0",",6","14",",6","0","1,6","5","1,6","0","1,6","","","19280409",",,6","19280414","+,,6","19280414","+,,6","","","19280406",",,6","19280402",",1,6","-7.8",",6,09,","25",",,6,14,+","25",",,6,14,+","18.8",",,6,06,","26.1","1,6,02,","","","3334.9","6","304.2","1,6","","","","","70.3",",,,6","63",",,,6","7.73","1,6","14.06","1,,,6","1.41",",,,6","",""
"USC00134101","1928-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","22.0","6","21.4",",6","6",",6","4",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","26",",6","0",",6","","","19280512",",,6","19280531","+,,6","19280531","+,,6","","","19280519",",,6","19280509",",,6","1.1",",6,12,","0",",,6,31,+","0",",,6,31,+","12.4",",,6,19,","31.1",",6,09,","","","3397.9","6","63.0",",6","","","","","40.1",",,,6","0",",,,6","16.99",",6","24.18",",,,6","9.80",",,,6","",""
"USC00134101","1928-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","61.1","6","39.1",",6","14",",6","12",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","26",",6","0",",6","","","19280610",",,6","19280630","+,,6","19280630","+,,6","","","19280625",",,6","19280620","+,,6","5.0",",6,10,","0",",,6,30,+","0",",,6,30,+","28.7",",,6,25,","29.4",",6,20,+","","","3431.7","6","33.8",",6","","","","","169.0",",,,6","0",",,,6","18.51",",6","24.59",",,,6","12.43",",,,6","",""
"USC00134101","1928-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","219.8","6","158.7",",6","12",",6","8",",6","4",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","5",",6","","","19280729",",,6","19280731","+,,6","19280731","+,,6","","","19280704",",,6","19280706",",,6","10.0",",6,29,","0",",,6,31,+","0",",,6,31,+","40.6",",,6,04,","33.9",",6,06,","","","1.4","6","1.4",",6","","","","","157.4",",,,6","0",",,,6","23.41",",6","29.25",",,,6","17.56",",,,6","",""
"USC00134101","1928-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","370.9","6","151.1",",6","11",",6","7",",6","2",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","8",",6","","","19280831",",,6","19280831","+,,6","19280831","+,,6","","","19280803",",,6","19280815","+,,6","8.9",",6,31,","0",",,6,31,+","0",",,6,31,+","60.5",",,6,03,","33.9",",6,15,+","","","7.2","6","5.8",",6","","","","","149.3",",,,6","0",",,,6","23.02",",6","28.92",",,,6","17.12",",,,6","",""
"USC00134101","1928-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","400.2","6","29.3",",6","7",",6","3",",6","0",",6","0",",6","0",",6","0",",6","4",",6","0",",6","23",",6","0",",6","","","19280925",",,6","19280930","+,,6","19280930","+,,6","","","19280912",",,6","19280909",",,6","-1.7",",6,25,","0",",,6,30,+","0",",,6,30,+","19.3",",,6,12,","31.7",",6,09,","","","108.1","6","100.9",",6","","","","","44.2",",,,6","0",",,,6","15.95",",6","23.10",",,,6","8.79",",,,6","",""
"USC00134101","1928-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","410.5","6","10.3","1,6","7",",6","6",",6","1",",6","","","","","0",",6","6",",6","0","1,6","13","1,6","0","1,6","","","19281029",",,6","","","","","","","19281017",",,6","19281010",",1,6","-6.1",",6,29,","","","","","29.2",",,6,17,","31.7","1,6,10,","","","325.8","6","217.7","1,6","","","","","109.3",",,,6","","","11.43","1,6","17.76","1,,,6","5.11",",,,6","",""
"USC00134101","1928-11","41.6093","-91.5051","195.1","IOWA CITY, IA US","410.5","6","0.0","1,6","11",",6","8",",6","1",",6","0","2,6","0","1,6","0","1,6","17","1,6","1",",6","0",",6","0",",6","","","19281125",",1,6","19281130","+,2,6","19281130","+,1,6","","","19281117",",,6","19281115",",,6","-8.3","1,6,25,","0","2,,6,30,+","0","1,,6,30,+","48.3",",,6,17,","20.0",",6,15,","","","723.8","6","398.0",",6","","","","","108.6",",,,6","0","1,,,6","4.57","1,6","8.76",",,,6","0.38","1,,,6","",""
"USC00134101","1928-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","410.5","6","0.0","1,6","6",",6","3",",6","0",",6","6",",6","1",",6","1",",6","26",",6","7","1,6","0","1,6","0","1,6","","","19281205",",,6","19281209","+,,6","19281204",",,6","","","19281213",",,6","19281211",",1,6","-17.8",",6,05,","25",",,6,09,+","25",",,6,04,","18.3",",,6,13,","10.0","1,6,11,","","","1318.4","6","594.6","1,6","","","","","28.4",",,,6","25",",,,6","-1.43","1,6","3.17","1,,,6","-6.04",",,,6","",""
"USC00134101","1929-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","10",",6","6",",6","1",",6","28",",6","8",",6","16",",6","31",",6","24",",6","0",",6","0",",6","","","19290115","+,,6","19290131","+,,6","19290105",",,6","","","19290105",",,6","19290122",",,6","-27.8",",6,15,+","279",",,6,31,+","165",",,6,05,","26.2",",,6,05,","2.8",",6,22,","","","2230.9","6","912.5",",6","","","","","65.3",",,,6","495",",,,6","-11.10",",6","-5.23",",,,6","-16.98",",,,6","",""
"USC00134101","1929-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","5",",6","3",",6","0",",6","28",",6","4",",6","10",",6","28",",6","20",",6","0",",6","0",",6","","","19290220",",,6","19290201",",,6","19290225","+,,6","","","19290226","+,,6","19290223",",,6","-30.0",",6,20,","254",",,6,01,","51",",,6,25,+","10.2",",,6,26,+","5.6",",6,23,","","","3003.9","6","773.0",",6","","","","","26.5",",,,6","165",",,,6","-9.28",",6","-3.88",",,,6","-14.68",",,,6","",""
"USC00134101","1929-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","9",",6","5",",6","1",",6","5",",6","0",",6","0",",6","13",",6","3",",6","3",",6","0",",6","","","19290307",",,6","19290303","+,,6","19290301",",,6","","","19290331",",,6","19290325",",,6","-12.2",",6,07,","51",",,6,03,+","13",",,6,01,","27.4",",,6,31,","23.9",",6,25,","","","3402.6","6","398.7",",6","","","","","57.3",",,,6","13",",,,6","5.47",",6","11.18",",,,6","-0.24",",,,6","",""
"USC00134101","1929-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","15.8","6","15.8",",6","11",",6","8",",6","2",",6","1",",6","0",",6","0",",6","6",",6","0",",6","7",",6","0",",6","","","19290401",",,6","19290401",",,6","19290401",",,6","","","19290420",",,6","19290404",",,6","-3.9",",6,01,","25",",,6,01,","13",",,6,01,","43.7",",,6,20,","29.4",",6,04,","","","3627.9","6","225.3",",6","","","","","120.2",",,,6","13",",,,6","11.35",",6","16.98",",,,6","5.72",",,,6","",""
"USC00134101","1929-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","50.5","6","34.7",",6","13",",6","5",",6","0",",6","0",",6","0",",6","0",",6","2",",6","0",",6","14",",6","0",",6","","","19290505",",,6","19290531","+,,6","19290531","+,,6","","","19290501",",,6","19290528",",,6","-1.1",",6,05,","0",",,6,31,+","0",",,6,31,+","16.0",",,6,01,","31.7",",6,28,","","","3769.9","6","142.0",",6","","","","","49.3",",,,6","0",",,,6","14.87",",6","20.81",",,,6","8.94",",,,6","",""
"USC00134101","1929-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","126.1","6","75.6",",6","8",",6","5",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","27",",6","1",",6","","","19290603",",,6","19290630","+,,6","19290630","+,,6","","","19290612",",,6","19290630",",,6","5.0",",6,03,","0",",,6,30,+","0",",,6,30,+","36.3",",,6,12,","32.2",",6,30,","","","3796.3","6","26.4",",6","","","","","79.8",",,,6","0",",,,6","19.97",",6","26.41",",,,6","13.54",",,,6","",""
"USC00134101","1929-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","286.6","6","160.5",",6","12",",6","7",",6","2",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","7",",6","","","19290720",",,6","","","19290731","+,,6","","","19290701",",,6","19290731","+,,6","11.1",",6,20,","","","0",",,6,31,+","55.1",",,6,01,","33.9",",6,31,+","","","0.9","6","0.9",",6","","","","","137.8",",,,6","0",",,,6","23.48",",6","29.35",",,,6","17.62",",,,6","",""
"USC00134101","1929-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","396.7","6","110.1",",6","5",",6","5",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","1",",6","","","19290815",",,6","","","19290831","+,,6","","","19290802",",,6","19290822",",,6","7.2",",6,15,","","","0",",,6,31,+","60.7",",,6,02,","35.0",",6,22,","","","7.6","6","6.7",",6","","","","","100.6",",,,6","0",",,,6","21.67",",6","28.03",",,,6","15.31",",,,6","",""
"USC00134101","1929-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","444.0","6","47.3",",6","8",",6","6",",6","0",",6","","","0",",6","0",",6","1",",6","0",",6","23",",6","2",",6","","","19290918",",,6","","","19290930","+,,6","","","19290929",",,6","19290902",",,6","-0.6",",6,18,","","","0",",,6,30,+","21.8",",,6,29,","33.9",",6,02,","","","72.6","6","65.0",",6","","","","","59.9",",,,6","0",",,,6","17.74",",6","23.77",",,,6","11.72",",,,6","",""
"USC00134101","1929-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","444.0","6","0.0",",6","12",",6","7",",6","1",",6","","","1",",6","0",",6","4",",6","0",",6","10",",6","0",",6","","","19291025","+,,6","","","19291023",",,6","","","19291012",",,6","19291015",",,6","-1.7",",6,25,+","","","25",",,6,23,","29.0",",,6,12,","26.7",",6,15,","","","303.0","6","230.4",",6","","","","","95.3",",,,6","25",",,,6","10.90",",6","17.03",",,,6","4.77",",,,6","",""
"USC00134101","1929-11","41.6093","-91.5051","195.1","IOWA CITY, IA US","444.0","6","0.0","1,6","7",",6","4",",6","0",",6","3",",6","0",",6","2",",6","22",",6","6","1,6","0","1,6","0","1,6","","","19291130","+,,6","19291130","+,,6","19291128",",,6","","","19291113",",,6","19291111",",1,6","-20.0",",6,30,+","25",",,6,30,+","13",",,6,28,","20.1",",,6,13,","15.0","1,6,11,","","","794.9","6","491.9","1,6","","","","","38.6",",,,6","13",",,,6","1.22","1,6","6.37","1,,,6","-3.93",",,,6","",""
"USC00134101","1929-12","41.6093","-91.5051","195.1","IOWA CITY, IA US","444.0","6","0.0",",6","8",",6","1",",6","0",",6","11",",6","1",",6","3",",6","28",",6","10",",6","0",",6","0",",6","","","19291203",",,6","19291201",",,6","19291201",",,6","","","19291201",",,6","19291230",",,6","-22.2",",6,03,","152",",,6,01,","127",",,6,01,","12.4",",,6,01,","15.6",",6,30,","","","1455.9","6","661.0",",6","","","","","16.4",",,,6","127",",,,6","-2.99",",6","1.58",",,,6","-7.55",",,,6","",""
"USC00134101","1930-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","13",",6","4",",6","0",",6","27",",6","8",",6","15",",6","31",",6","25",",6","0",",6","0",",6","","","19300122",",,6","19300126","+,,6","19300109",",,6","","","19300114",",,6","19300105",",,6","-35.0",",6,22,","254",",,6,26,+","152",",,6,09,","10.4",",,6,14,","10.6",",6,05,","","","2367.2","6","911.3",",6","","","","","34.6",",,,6","534",",,,6","-11.06",",6","-5.27",",,,6","-16.86",",,,6","",""
