STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LX01,LX01_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00023065,1931-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,692.9,6,0,",6",2,",6",1,",6",0,",6",,,2,",6",0,",6",28,",6",8,",6",0,",6",0,",6",,,,,19311213,",,6",,,19311231,"+,,6",,,19311231,",,6",19311226,",,6",-15,",6,13,",,,25,",,6,31,+",2.5,",,6,31,",15.6,",6,26,",,,1176.3,6,,,582.4,",6",,,,,,,,,,,,,,,4.8,",,,6",,,,,,,50,",,,6",-0.45,",6",5.43,",,,6",-6.34,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",5,",6",0,",6",0,",6",,,,,1,",6",31,",6",9,",6",0,",6",0,",6",,,,,19320131,",,6",,,,,,,19320126,",,6",19320109,",,6",-18.9,",6,31,",,,,,2.3,",,6,26,",14.4,",6,09,",,,1828.9,6,,,652.6,",6",,,,,,,,,,,,,,,4.7,",,,6",,,,,,,,,-2.72,",6",3.08,",,,6",-8.52,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-02,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",2,",6",1,",6",0,",6",,,1,",6",1,",6",23,",6",2,",6",4,",6",0,",6",,,,,19320201,",,6",,,19320203,",,6",,,19320203,",,6",19320228,",,6",-17.8,",6,01,",,,51,",,6,03,",2.5,",,6,03,",26.7,",6,28,",,,2255.2,6,,,426.3,",6",,,,,,,,,,,,,,,4.3,",,,6",,,,,,,51,",,,6",3.63,",6",11.31,",,,6",-4.04,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-03,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",4,",6",2,",6",0,",6",,,2,",6",4,",6",25,",6",6,",6",1,",6",0,",6",,,,,19320310,",,6",,,19320307,",,6",,,19320307,",,6",19320329,",,6",-23.3,",6,10,",,,102,",,6,07,",8.1,",,6,07,",23.3,",6,29,",,,2790.4,6,,,535.2,",6",,,,,,,,,,,,,,,17.1,",,,6",,,,,,,178,",,,6",1.07,",6",8.9,",,,6",-6.77,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-04,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,6.9,6,6.9,",6",10,",6",9,",6",1,",6",,,2,",6",0,",6",7,",6",0,",6",16,",6",0,",6",,,,,19320426,",,6",,,19320427,"+,,6",,,19320424,",,6",19320405,",,6",-3.9,",6,26,",,,25,",,6,27,+",48.8,",,6,24,",30,",6,05,",,,2989.6,6,,,199.2,",6",,,,,,,,,,,,,,,107.4,",,,6",,,,,,,50,",,,6",11.93,",6",20.13,",,,6",3.72,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-05,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,33,6,26.1,",6",3,",6",2,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",25,",6",0,",6",,,,,19320516,",,6",,,19320531,"+,,6",,,19320507,",,6",19320530,",,6",0.6,",6,16,",,,0,",,6,31,+",20.8,",,6,07,",31.7,",6,30,",,,3055.5,6,,,65.9,",6",,,,,,,,,,,,,,,29.5,",,,6",,,,,,,0,",,,6",17.05,",6",25.13,",,,6",8.96,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-06,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,92.8,6,59.8,",6",9,",6",8,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",30,",6",2,",6",,,,,19320603,",,6",,,19320630,"+,,6",,,19320605,",,6",19320630,",,6",7.2,",6,03,",,,0,",,6,30,+",20.3,",,6,05,",34.4,",6,30,",,,3061.9,6,,,6.4,",6",,,,,,,,,,,,,,,92.2,",,,6",,,,,,,0,",,,6",20.11,",6",27.81,",,,6",12.41,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-07,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,336.6,6,243.8,",6",8,",6",7,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",31,",6",26,",6",,,,,19320701,",,6",,,19320731,"+,,6",,,19320725,",,6",19320718,",,6",13.3,",6,01,",,,0,",,6,31,+",21.3,",,6,25,",40,",6,18,",,,0,6,,,0,",6",,,,,,,,,,,,,,,49.9,",,,6",,,,,,,0,",,,6",26.2,",6",35.19,",,,6",17.2,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-08,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,538.3,6,201.7,",6",,,,,,,,,0,",6",0,",6",0,",6",0,",6",31,",6",24,",6",,,,,19320807,",,6",,,19320831,"+,,6",,,,,19320809,",,6",11.7,",6,07,",,,0,",,6,31,+",,,37.8,",6,09,",,,0,6,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,0,",,,6",24.84,",6",33.38,",,,6",16.3,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-09,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,589.2,6,50.9,",6",3,",6",3,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",27,",6",7,",6",,,,,19320920,",,6",,,19320930,"+,,6",,,19320913,",,6",19320918,"+,,6",4.4,",6,20,",,,0,",,6,30,+",6.4,",,6,13,",35.6,",6,18,+",,,37.6,6,,,37.6,",6",,,,,,,,,,,,,,,13.5,",,,6",,,,,,,0,",,,6",18.78,",6",27.41,",,,6",10.15,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-10,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,594.2,6,5,",6",2,",6",2,",6",0,",6",,,0,",6",0,",6",13,",6",0,",6",14,",6",1,",6",,,,,19321029,",,6",,,19321031,"+,,6",,,19321022,",,6",19321006,",,6",-7.2,",6,29,",,,0,",,6,31,+",11.9,",,6,22,",32.2,",6,06,",,,281,6,,,243.4,",6",,,,,,,,,,,,,,,18.5,",,,6",,,,,,,0,",,,6",10.64,",6",19.5,",,,6",1.78,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-11,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,594.2,6,0,",6",0,",6",0,",6",0,",6",,,,,0,",6",24,",6",0,",6",6,",6",0,",6",,,,,19321116,",,6",,,,,,,19321115,",,6",19321113,",,6",-10,",6,16,",,,,,0,",T,6,15,",25.6,",6,13,",,,661,6,,,380,",6",,,,,,,,,,,,,,,0,",T,,6",,,,,,,,,5.67,",6",14.08,",,,6",-2.74,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1932-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,594.2,6,0,",6",4,",6",0,",6",0,",6",,,2,",6",6,",6",30,",6",11,",6",1,",6",0,",6",,,,,19321212,",,6",,,19321208,",,6",,,19321208,",,6",19321205,",,6",-27.8,",6,12,",,,51,",,6,08,",2,",,6,08,",21.1,",6,05,",,,1370,6,,,709,",6",,,,,,,,,,,,,,,4.1,",,,6",,,,,,,76,",,,6",-4.54,",6",2.14,",,,6",-11.22,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",0,",6",0,",6",0,",6",,,0,",6",0,",6",30,",6",1,",6",0,",6",0,",6",,,,,19330111,",,6",,,19330131,"+,,6",,,19330131,"+,,6",19330114,"+,,6",-13.3,",6,11,",,,0,",,6,31,+",0,",,6,31,+",16.7,",6,14,+",,,1885.1,6,,,515.1,",6",,,,,,,,,,,,,,,0,",,,6",,,,,,,0,",,,6",1.72,",6",9.9,",,,6",-6.46,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-02,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",2,",6",0,",6",0,",6",,,0,",6",5,",6",27,",6",5,",6",1,",6",0,",6",,,,,19330209,",,6",,,19330228,"+,,6",,,19330206,",,6",19330221,",,6",-30,",6,09,",,,0,",,6,28,+",0.8,",,6,06,",21.1,",6,21,",,,2458.2,6,,,573.1,",6",,,,,,,,,,,,,,,1.1,",,,6",,,,,,,0,",,,6",-2.14,",6",6.99,",,,6",-11.26,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-03,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",6,",6",3,",6",0,",6",,,3,",6",0,",6",23,",6",1,",6",10,",6",0,",6",,,,,19330310,",,6",,,19330305,",,6",,,19330318,",,6",19330329,",,6",-9.4,",6,10,",,,51,",,6,05,",13,",,6,18,",27.8,",6,29,",,,2818.3,6,,,360.1,",6",,,,,,,,,,,,,,,24.8,",,,6",,,,,,,122,",,,6",6.72,",6",15.4,",,,6",-1.96,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-04,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0.6,6,0.6,",6",9,",6",6,",6",0,",6",,,2,",6",0,",6",11,",6",0,",6",12,",6",0,",6",,,,,19330414,"+,,6",,,19330413,"+,,6",,,19330421,",,6",19330418,",,6",-8.3,",6,14,+",,,25,",,6,13,+",19.1,",,6,21,",29.4,",6,18,",,,3061.3,6,,,243,",6",,,,,,,,,,,,,,,52.2,",,,6",,,,,,,50,",,,6",10.25,",6",18.88,",,,6",1.62,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-05,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,26.4,6,25.8,",6",8,",6",6,",6",2,",6",,,0,",6",0,",6",0,",6",0,",6",19,",6",3,",6",,,,,19330502,",,6",,,19330531,"+,,6",,,19330504,",,6",19330519,",,6",0.6,",6,02,",,,0,",,6,31,+",32.8,",,6,04,",33.3,",6,19,",,,3192.6,6,,,131.3,",6",,,,,,,,,,,,,,,97.9,",,,6",,,,,,,0,",,,6",14.93,",6",22.75,",,,6",7.1,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-06,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,225.2,6,198.8,",6",4,",6",3,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",30,",6",25,",6",,,,,19330613,",,6",,,19330630,"+,,6",,,19330621,",,6",19330630,",,6",8.3,",6,13,",,,0,",,6,30,+",18.3,",,6,21,",40.6,",6,30,",,,3194,6,,,1.4,",6",,,,,,,,,,,,,,,33.8,",,,6",,,,,,,0,",,,6",24.92,",6",34.24,",,,6",15.59,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-07,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,447.6,6,222.4,",6",5,",6",4,",6",2,",6",,,0,",6",0,",6",0,",6",0,",6",31,",6",25,",6",,,,,19330727,",,6",,,19330731,"+,,6",,,19330708,",,6",19330728,",,6",12.2,",6,27,",,,0,",,6,31,+",42.9,",,6,08,",39.4,",6,28,",,,0,6,,,0,",6",,,,,,,,,,,,,,,102.1,",,,6",,,,,,,0,",,,6",25.51,",6",34.34,",,,6",16.67,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-08,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,584.6,6,137,",6",11,",6",10,",6",2,",6",,,0,",6",0,",6",0,",6",0,",6",29,",6",14,",6",,,,,19330814,",,6",,,19330831,"+,,6",,,19330828,",,6",19330806,",,6",12.2,",6,14,",,,0,",,6,31,+",58.2,",,6,28,",36.7,",6,06,",,,4.7,6,,,4.7,",6",,,,,,,,,,,,,,,154.2,",,,6",,,,,,,0,",,,6",22.6,",6",29.92,",,,6",15.28,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-09,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,676.8,6,92.2,",6",6,",6",5,",6",1,",6",,,0,",6",0,",6",0,",6",0,",6",28,",6",10,",6",,,,,19330927,",,6",,,19330930,"+,,6",,,19330911,",,6",19330909,",,6",6.1,",6,27,",,,0,",,6,30,+",47,",,6,11,",34.4,",6,09,",,,20.5,6,,,15.8,",6",,,,,,,,,,,,,,,93.9,",,,6",,,,,,,0,",,,6",20.88,",6",29,",,,6",12.76,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-10,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,676.8,6,0,",6",1,",6",0,",6",0,",6",,,0,",6",0,",6",3,",6",0,",6",17,",6",0,",6",,,,,19331021,",,6",,,19331031,"+,,6",,,19331006,",,6",19331029,"+,,6",-1.1,",6,21,",,,0,",,6,31,+",2.3,",,6,06,",28.9,",6,29,+",,,180,6,,,159.5,",6",,,,,,,,,,,,,,,2.3,",,,6",,,,,,,0,",,,6",13.19,",6",22.02,",,,6",4.35,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-11,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,676.8,6,0,",6",3,",6",0,",6",0,",6",,,1,",6",0,",6",19,",6",1,",6",4,",6",0,",6",,,,,19331106,",,6",,,19331105,",,6",,,19331104,",,6",19331120,",,6",-10,",6,06,",,,25,",,6,05,",1.5,",,6,04,",23.3,",6,20,",,,525.3,6,,,345.3,",6",,,,,,,,,,,,,,,2.3,",,,6",,,,,,,25,",,,6",6.82,",6",14.37,",,,6",-0.72,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1933-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,676.8,6,0,",6",4,",6",2,",6",0,",6",,,0,",6",0,",6",22,",6",0,",6",1,",6",0,",6",,,,,19331226,",,6",,,19331231,"+,,6",,,19331202,",,6",19331223,",,6",-13.9,",6,26,",,,0,",,6,31,+",16.3,",,6,02,",21.7,",6,23,",,,962.1,6,,,436.8,",6",,,,,,,,,,,,,,,25.2,",,,6",,,,,,,0,",,,6",4.24,",6",12.15,",,,6",-3.67,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",3,",6",0,",6",0,",6",,,0,",6",0,",6",30,",6",1,",6",0,",6",0,",6",,,,,19340108,",,6",,,19340107,",,6",,,19340107,",,6",19340127,",,6",-10.6,",6,08,",,,13,",,6,07,",1,",,6,07,",19.4,",6,27,",,,1446.4,6,,,484.3,",6",,,,,,,,,,,,,,,2,",,,6",,,,,,,16,",,,6",2.71,",6",10.61,",,,6",-5.19,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-02,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",9,",6",4,",6",0,",6",,,4,",6",2,",6",22,",6",5,",6",1,",6",0,",6",,,,,19340226,",,6",,,19340210,",,6",,,19340210,",,6",19340202,",,6",-18.3,",6,26,",,,102,",,6,10,",10.7,",,6,10,",22.2,",6,02,",,,1899.4,6,,,453,",6",,,,,,,,,,,,,,,28.4,",,,6",,,,,,,229,",,,6",2.15,",6",9.05,",,,6",-4.74,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-03,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",4,",6",2,",6",0,",6",,,2,",6",0,",6",20,",6",1,",6",7,",6",0,",6",,,,,19340308,",,6",,,19340324,"+,,6",,,19340324,",,6",19340320,",,6",-11.7,",6,08,",,,51,",,6,24,+",5.1,",,6,24,",25.6,",6,20,",,,2262.8,6,,,363.4,",6",,,,,,,,,,,,,,,11.5,",,,6",,,,,,,102,",,,6",6.61,",6",15.55,",,,6",-2.33,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-04,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,1.4,6,1.4,",6",7,",6",2,",6",0,",6",,,0,",6",0,",6",7,",6",0,",6",16,",6",0,",6",,,,,19340420,"+,,6",,,19340430,"+,,6",,,19340406,",,6",19340429,",,6",-2.2,",6,20,+",,,0,",,6,30,+",3.8,",,6,06,",30.6,",6,29,",,,2440.1,6,,,177.3,",6",,,,,,,,,,,,,,,9.2,",,,6",,,,,,,0,",,,6",12.47,",6",21.52,",,,6",3.42,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-05,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,96.1,6,94.7,",6",8,",6",2,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",29,",6",12,",6",,,,,19340514,",,6",,,19340531,"+,,6",,,19340514,",,6",19340529,",,6",1.7,",6,14,",,,0,",,6,31,+",12.7,",,6,14,",37.2,",6,29,",,,2466.8,6,,,26.7,",6",,,,,,,,,,,,,,,20,",,,6",,,,,,,0,",,,6",20.53,",6",29.82,",,,6",11.24,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-06,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,274.4,6,178.3,",6",10,",6",6,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",30,",6",24,",6",,,,,19340618,",,6",,,19340630,"+,,6",,,19340615,",,6",19340628,",,6",11.1,",6,18,",,,0,",,6,30,+",23.4,",,6,15,",40,",6,28,",,,2466.8,6,,,0,",6",,,,,,,,,,,,,,,55,",,,6",,,,,,,0,",,,6",24.28,",6",33.46,",,,6",15.09,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-07,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,579.6,6,305.2,",6",8,",6",5,",6",0,",6",,,0,",6",0,",6",0,",6",0,",6",31,",6",26,",6",,,,,19340706,",,6",,,19340731,"+,,6",,,19340708,",,6",19340713,",,6",11.7,",6,06,",,,0,",,6,31,+",19.8,",,6,08,",42.2,",6,13,",,,0,6,,,0,",6",,,,,,,,,,,,,,,51.6,",,,6",,,,,,,0,",,,6",28.18,",6",37.39,",,,6",18.96,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-08,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,822.7,6,243.1,",6",3,",6",3,",6",1,",6",,,0,",6",0,",6",0,",6",0,",6",30,",6",23,",6",,,,,19340825,",,6",,,19340831,"+,,6",,,19340816,",,6",19340808,",,6",7.2,",6,25,",,,0,",,6,31,+",34,",,6,16,",42.2,",6,08,",,,6.1,6,,,6.1,",6",,,,,,,,,,,,,,,50.3,",,,6",,,,,,,0,",,,6",25.98,",6",34.93,",,,6",17.03,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-09,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,865.3,6,42.6,",6",6,",6",3,",6",0,",6",,,0,",6",0,",6",3,",6",0,",6",27,",6",3,",6",,,,,19340926,",,6",,,19340930,"+,,6",,,19340901,",,6",19340911,",,6",-3.3,",6,26,",,,0,",,6,30,+",13,",,6,01,",35,",6,11,",,,76.4,6,,,70.3,",6",,,,,,,,,,,,,,,26.5,",,,6",,,,,,,0,",,,6",17.41,",6",26.96,",,,6",7.85,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-10,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,879.9,6,14.6,",6",2,",6",0,",6",0,",6",,,0,",6",0,",6",4,",6",0,",6",23,",6",3,",6",,,,,19341029,"+,,6",,,19341031,"+,,6",,,19341019,"+,,6",19341007,",,6",-1.7,",6,29,+",,,0,",,6,31,+",0.5,",,6,19,+",35,",6,07,",,,184.9,6,,,108.5,",6",,,,,,,,,,,,,,,1,",,,6",,,,,,,0,",,,6",15.3,",6",24.73,",,,6",5.88,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-11,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,879.9,6,0,",6",3,",6",2,",6",0,",6",,,1,",6",0,",6",15,",6",1,",6",7,",6",0,",6",,,,,19341130,",,6",,,19341127,",,6",,,19341127,",,6",19341108,",,6",-10,",6,30,",,,51,",,6,27,",4.8,",,6,27,",28.3,",6,08,",,,516,6,,,331.1,",6",,,,,,,,,,,,,,,7.6,",,,6",,,,,,,51,",,,6",7.3,",6",15.27,",,,6",-0.68,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1934-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,879.9,6,0,",6",5,",6",0,",6",0,",6",,,0,",6",0,",6",31,",6",0,",6",0,",6",0,",6",,,,,19341207,",,6",,,19341218,"+,,6",,,19341218,",,6",19341211,",,6",-15,",6,07,",,,13,",,6,18,+",1.5,",,6,18,",20,",6,11,",,,1061.3,6,,,545.3,",6",,,,,,,,,,,,,,,4.3,",,,6",,,,,,,39,",,,6",0.74,",6",8.05,",,,6",-6.56,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1935-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",1,",6",0,",6",0,",6",,,0,",6",3,",6",30,",6",3,",6",1,",6",0,",6",,,,,19350121,",,6",,,19350120,",,6",,,19350120,",,6",19350125,",,6",-26.1,",6,21,",,,0,",T,6,20,",0.5,",,6,20,",21.1,",6,25,",,,1546.8,6,,,485.5,",6",,,,,,,,,,,,,,,0.5,",,,6",,,,,,,0,",T,,6",2.67,",6",11.58,",,,6",-6.24,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1935-02,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,6,0,",6",3,"1,6",1,"1,6",0,"1,6",,,1,",6",1,",6",24,",6",4,",6",1,",6",0,",6",,,,,19350226,",,6",,,19350224,",,6",,,19350225,",1,6",19350221,",,6",-18.3,",6,26,",,,76,",,6,24,",7.1,"1,,6,25,",22.8,",6,21,",,,1967,6,,,420.2,",6",,,,,,,,,,,,,,,7.9,"1,,,6",,,,,,,76,",,,6",3.33,",6",11.09,",,,6",-4.44,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1935-03,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0.6,6,0.6,",6",3,",6",2,",6",0,",6",,,1,",6",0,",6",18,",6",0,",6",11,",6",0,",6",,,,,19350307,"+,,6",,,19350307,",,6",,,19350304,",,6",19350315,",,6",-8.9,",6,07,+",,,38,",,6,07,",8.6,",,6,04,",27.8,",6,15,",,,2284.7,6,,,317.7,",6",,,,,,,,,,,,,,,12.4,",,,6",,,,,,,38,",,,6",8.1,",6",16.74,",,,6",-0.54,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1935-04,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,1.7,6,1.1,",6",7,",6",1,",6",0,",6",,,0,",6",0,",6",11,",6",0,",6",11,",6",0,",6",,,,,19350412,",,6",,,19350410,",,6",,,19350406,",,6",19350422,",,6",-6.7,",6,12,",,,0,",T,6,10,",2.5,",,6,06,",29.4,",6,22,",,,2550.6,6,,,265.9,",6",,,,,,,,,,,,,,,7.7,",,,6",,,,,,,0,",T,,6",9.51,",6",17.65,",,,6",1.36,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1935-05,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,6.1,6,4.4,"1,6",17,",6",7,",6",0,",6",,,0,",6",0,",6",2,",6",0,"1,6",10,"1,6",0,"1,6",,,,,19350505,",,6",,,19350531,"+,,6",,,19350519,",,6",19350531,",1,6",-1.7,",6,05,",,,0,",,6,31,+",20.1,",,6,19,",31.1,"1,6,31,",,,2737.4,6,,,186.8,"1,6",,,,,,,,,,,,,,,63.7,",,,6",,,,,,,0,",,,6",12.22,"1,6",17.83,"1,,,6",6.61,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1935-06,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,96.1,6,90,",6",12,",6",7,",6",1,",6",,,0,",6",0,",6",0,",6",0,",6",29,",6",6,",6",,,,,19350607,",,6",,,19350630,"+,,6",,,19350610,",,6",19350609,",,6",6.1,",6,07,",,,0,",,6,30,+",30,",,6,10,",37.2,",6,09,",,,2760.3,6,,,22.9,",6",,,,,,,,,,,,,,,79.2,",,,6",,,,,,,0,",,,6",20.57,",6",28.31,",,,6",12.83,",,,6",,,,,,,,,,,,,,,,,,,,
